Sr No.,Project Name,Sponsoring Authority,Location,Sector,Sub Sector,Total Project Cost (In Rs. Crore),PPPAC Meeting Date,Meeting Number,Recommended For
1,"Considering the revalidation of the revised cost of the Development, Maintenance and Management of the New NH-06 from Existing 61.8KM, Mawlyngkhung (Barapani Near Shillong in Meghalaya) to existing Km.197.40 New NH-06 (Panchgram in Assam) in the State of Meghalaya and Assam by 4-Laning with paved Shoulder on Hybrid Annuity Mode (HAM) Basis under Public-Private Partnership (PPP) Mode reg: -",Ministry of Road Transport and Highways (MoRTH),Meghalaya,Transport and Logistics,Roads,22864,21.02.2025,121st PPPAC,Final approval
2,"Four-lane, Badvel to Nellore section of NH-67 in the state of Andhra Pradesh on HAM",Ministry of Road Transport and Highways (MoRTH),Andhra Pradesh,Transport and Logistics,Roads,4377,04.02.2025,120th PPPAC,Final approval
3,Two-lane with Paved shoulder from Basnaghat (Morigaon) to Bhuragaon (in Darrang district) including new 2 lane Major Bridge over river Brahmaputra in the State of Assam on HAM,Ministry of Road Transport and Highways (MoRTH),Assam,Transport and Logistics,Roads,0,04.02.2025,120th PPPAC,Final approval
4,Six-lane Access Control Greenfield Capital Region Ring Road (Bhubaneswar Bypass) from Rameshwar to Tangi in the State of Odisha on HAM,Ministry of Road Transport and Highways (MoRTH),Odisha,Transport and Logistics,Roads,0,04.02.2025,120th PPPAC,Final approval
5,"Four-lane, Parmakudi to Ramanathapuram Section of NH-87 in the state of Tamil Nadu on HAM",Ministry of Road Transport and Highways (MoRTH),Tamil Nadu,Transport and Logistics,Roads,32,04.02.2025,120th PPPAC,Final approval
6,Ropeway project between Govindghat and Hemkund Sahib in the State of Uttarakhand on DBFOT model.,Ministry of Road Transport and Highways (MoRTH),Uttarakhand,Transport and Logistics,Roads,2589,01.01.2025,119th PPPAC,Final approval
7,Six-lane Zirakpur Bypass in the state of Punjab & Haryana on Hybrid Annuity Mode,Ministry of Road Transport and Highways (MoRTH),Punjab,Transport and Logistics,Roads,1878,01.01.2025,119th PPPAC,Final approval
8,"Four-lane STRR, NH948A - Obalapura to S.Mudugadapalli in Karnataka & Tamil Nadu on HAM.",Ministry of Road Transport and Highways (MoRTH),Karnataka,Transport and Logistics,Roads,8834,01.01.2025,119th PPPAC,Final approval
9,Six-Lane Greenfield Highway from Pagote to Chowk of NH 348B in Maharashtra on Built Operate Transfer (BOT) mode.,Ministry of Road Transport and Highways (MoRTH),Maharashtra,Transport and Logistics,Roads,3653,03.12.2024,118th PPPAC,Final approval
10,Four-Lane Patna – Arrah - Sasaram Access Controlled Greenfield Corridor’ as a new National Highway NH-119A on Hybrid Annuity Model (HAM),Ministry of Road Transport and Highways (MoRTH),Bihar,Transport and Logistics,Roads,0,03.12.2024,118th PPPAC,Final approval
11,"Ropeway Project between Sonprayag and Kedarnath on Design, Build, Finance, Operate and Transfer (DBFOT) model",Ministry of Road Transport and Highways (MoRTH),Uttarakhand,Transport and Logistics,Roads,0,03.12.2024,118th PPPAC,Final approval
12,"Greenfield Development, Maintenance and Management of a  new alignment of National Highway-06 from Mawlyngkhung in  Meghalaya (from 61.8 km on existing NH06) to Panchgram in  Assam (to 197.4 km on the existing NH06) by 4 laning with  paved shoulders.",Ministry of Road Transport and Highways (MoRTH),Meghalaya,Transport and Logistics,Roads,24805,09.11.2024,117th PPPAC,Final approval
13,Selection of a Private Partner to develop Infrastructure at the Indian Institute of Management (IIM) - Udaipur on PPP Mode.,Department of Higher Education,Rajasthan,Education,Infrastructure design and development,100,19.10.2024,116th PPPAC,Final approval
14,Selection of a Private Partner to develop Student Hostels at the Indian Institute of Technology (IIT) - Madras on PPP Mode.,Department of Higher Education,Rajasthan,Education,Infrastructure design and development,397,19.10.2024,116th PPPAC,Final approval
15,"Construction, Development, Financing Operation and Maintenance of Students Hostel in campus of Indian Institute of Information Technology (IIIT) - Nagpur on DBFOT under PPP Mode.",Department of Higher Education,Rajasthan,Education,Infrastructure design and development,53,19.10.2024,116th PPPAC,Final approval
16,"Development of 8- Lane Elevated Flyover at Tier 1 on Single Pier including upgradation of Existing Road to 4/6 Lane with 2 Lane Service Road on both sides of Nashik Phata to Khed section of NH-60 in the state of Maharashtra under NH(O) Projects on Build, Operate and Transfer (BOT) Mode.",Ministry of Road Transport and Highways (MoRTH),Maharashtra,Transport and Logistics,Roads,7808,02.03.2024,115th PPPAC,Final approval
17,Construction of Six lane access-controlled Greenfield Expressway from Km 0.000 to Km 213.803 (Tharad to Ahmedabad-Design length 213.803 km) in 6 packages under Bharatmala Pariyojana in the State of Gujarat on Hybrid Annuity Mode.,Ministry of Road Transport and Highways (MoRTH),Gujarat,Transport and Logistics,Roads,10579,02.03.2024,115th PPPAC,Final approval
18,"Development of 6 lane access-controlled Agra-Gwalior greenfield highway in the state of Uttar Pradesh, Rajasthan and Madhya Pradesh on BOT(Toll) Mode",Ministry of Road Transport and Highways (MoRTH),Uttar Pradesh,Transport and Logistics,Roads,4263,21.02.2024,114th PPPAC,Final approval
19,Development of 4-lane access-controlled Pathalgaon-Kunkuri-CG/JH border-Gumla-Bharda section as part of Raipur-Dhanbad Economic Corridor under Bharatmala Pariyojana in the state of Chhattisgarh and Jharkhand on HAM model,Ministry of Road Transport and Highways (MoRTH),Jharkhand,Transport and Logistics,Roads,4473,21.02.2024,114th PPPAC,Final approval
20,Development of 4 lane access-controlled Economic Corridor from Kharagpur to Moregram Section Km 0.000 to Km 230.957 of NH 116A divided into 5 packages in the state of West Bengal under Bharatmala Pariyojana on HAM model,Ministry of Road Transport and Highways (MoRTH),West Bengal,Transport and Logistics,Roads,1025,21.02.2024,114th PPPAC,Final approval
21,Construction of Northern Ayodhya Bypass (NAB) and Southern Ayodhya Bypass (SAB) with total length of 67.572 kms on HAM in the State of Uttar Pradesh,"Ministry of Road Transport and Highways, Government of India",Uttar Pradesh,Transport and Logistics,Roads,3935,20.02.2024,113th PPPAC,Final approval
